Public Vehicle Type,Public Vehicle Number,Company Name,Vehicle Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Wheelchair Accessible,Affiliation,License Management,Inspection Type,Scheduled Inspection Date and Time,Result,Current
Taxi,4491,BARKA CAB CORP,ACTIVE,TOYOTA,RAV4,2017,FALSE,INDEPENDENT3,Owner-Operator,FIRST_PERIOD,2/27/2023 9:00,FAILED,FALSE
Taxi,2609,SPARTAN CAB CO,ACTIVE,TOYOTA,CAMRY,2015,FALSE,City Service Taxi Association,Owner Manager,FIRST_PERIOD,2/27/2023 13:00,PASSED,FALSE
Livery,9215,THE GREAT FAMILY INC,ACTIVE,LINCOLN,NAVIGATOR,2017,FALSE,,,FIRST_PERIOD,2/27/2023 8:00,NO_SHOW,FALSE
Ambulance,721499,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",ACTIVE,MERCEDES,SPRINTER,2019,FALSE,,,FIRST_PERIOD,3/31/2023 8:00,FAILED,FALSE
Taxi,3444,PEACE CAB CO,ACTIVE,TOYOTA,CAMRY,2013,FALSE,Sun Taxi Association Inc,Owner-Operator,RETEST,2/27/2023 11:00,FAILED,FALSE
Taxi,5935,DJ LARBI INC.,ACTIVE,TOYOTA,COROLLA,2022,FALSE,Independent1,Owner-Operator,FIRST_PERIOD,3/31/2023 11:00,PASSED,FALSE
Taxi,1388,G.M.A. TAXI INC,ACTIVE,TOYOTA,CAMRY,2016,FALSE,Sun Taxi Association Inc,Owner-Operator,RETEST,2/27/2023 9:00,PASSED,FALSE
Taxi,2757,SETARE INC.,ACTIVE,TOYOTA,CAMRY,2013,FALSE,Top Cab Association,Top Cab Corp.,FIRST_PERIOD,3/31/2023 8:00,FAILED,FALSE
Ambulance,721363,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",ACTIVE,MERCEDES,SPRINTER,2016,FALSE,,,FIRST_PERIOD,2/27/2023 8:00,FAILED,FALSE
Taxi,1137,SKYT INC.,ACTIVE,TOYOTA,PRIUS,2013,FALSE,Independent1,Owner-Operator,FIRST_PERIOD,2/27/2023 9:00,PASSED,FALSE
Taxi,6326,"NICKI & EMMY, INC.",FORECLOSURE,FORD,ESCAPE,2012,FALSE,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",FIRST_PERIOD,1/20/2023 13:00,PASSED,FALSE
Taxi,5049,KR & AZ ENTERPRISE INC,ACTIVE,TOYOTA,CAMRY,2014,FALSE,Independent1,Owner Manager,SECOND_PERIOD,9/26/2023 13:00,PENDING,TRUE
Taxi,4107,LEAK & N ENTERPRISES INC.,ACTIVE,TOYOTA,RAV4,2018,FALSE,Globe Taxi Association Inc,Owner-Operator,FIRST_PERIOD,5/11/2023 8:00,PENDING,TRUE
Taxi,1738,KIRUBEL CORP,ACTIVE,TOYOTA,PRIUS,2016,FALSE,Independent1,Owner-Operator,FIRST_PERIOD,2/28/2023 9:00,PASSED,FALSE
Taxi,4991,"JSN 3, INC",ACTIVE,TOYOTA,RAV4,2020,FALSE,City Service Taxi Association,Owner Manager,FIRST_PERIOD,2/28/2023 10:00,PASSED,FALSE
Taxi,381,MASS MEDIA LINK CO.,ACTIVE,TOYOTA,CAMRY,2013,FALSE,Globe Taxi Association Inc,Owner Manager,SECOND_PERIOD,9/20/2023 13:00,PENDING,TRUE
Taxi,5284,"CORTANY 1 TRANS, INC.",ACTIVE,TOYOTA,PRIUS,2014,FALSE,Flash Cab Co,Owner-Operator,FIRST_PERIOD,1/26/2023 8:00,NO_SHOW_RESCHEDULED,FALSE
Ambulance,5553,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",ACTIVE,MERCEDES,SPRINTER,2012,FALSE,,,RETEST,2/28/2023 8:00,PASSED,FALSE
Livery,7697,CAREY LIMOUSINE CHICAGO INC,ACTIVE,CADILLAC,XTS,2018,FALSE,,,FIRST_PERIOD,2/28/2023 8:00,FAILED,FALSE
Taxi,1080,"CINO ENTERPRISES, LLC",ACTIVE,TOYOTA,SIENNA,2020,TRUE,Yellow Cab Association,Owner Manager,FIRST_PERIOD,5/5/2023 9:00,PENDING,TRUE
Taxi,1462,EMMA TAXI INC.,ACTIVE,TOYOTA,RAV4,2016,FALSE,Independent1,Owner-Operator,RETEST,2/27/2023 10:00,NO_SHOW_RESCHEDULED,FALSE
Taxi,271,TAURUS CAB INC,ACTIVE,FORD,ESCAPE,2012,FALSE,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",FIRST_PERIOD,2/28/2023 10:00,PASSED,FALSE
Taxi,968,Z & M RIDE INC,ACTIVE,TOYOTA,PRIUS,2013,FALSE,Flash Cab Co,"Peeple Trans, LLC",RETEST,2/28/2023 13:00,PASSED,FALSE
Taxi,3514,NEW DIAMOND JUBILEE INC,ACTIVE,TOYOTA,CAMRY,2014,FALSE,City Service Taxi Association,Owner Manager,FIRST_PERIOD,2/28/2023 10:00,FAILED,FALSE
Taxi,6618,MN TAXI INC.,ACTIVE,TOYOTA,PRIUS,2014,FALSE,Independent1,Owner-Operator,FIRST_PERIOD,4/13/2023 10:00,PASSED,FALSE
Livery,7697,CAREY LIMOUSINE CHICAGO INC,ACTIVE,CADILLAC,XTS,2018,FALSE,,,RETEST,2/28/2023 10:00,PASSED,FALSE
Taxi,940,SAFI TRANSPORTATION INC,ACTIVE,TOYOTA,CAMRY,2016,FALSE,Yellow Cab Association,Owner Manager,RETEST,2/28/2023 11:00,FAILED,FALSE
Taxi,1859,HNA 4 CORP,ACTIVE,TOYOTA,SIENNA,2020,TRUE,Flash Cab Co,Owner-Operator,FIRST_PERIOD,2/28/2023 9:00,PASSED,FALSE
Taxi,3557,SHAHIDA INC,ACTIVE,TOYOTA,CAMRY,2014,FALSE,Flash Cab Co,Owner Manager,FIRST_PERIOD,4/20/2023 10:00,PENDING,TRUE
Taxi,2871,"NART 4 TRANS, INC",ACTIVE,FORD,ESCAPE,2012,FALSE,City Service Taxi Association,Owner-Operator,FIRST_PERIOD,2/28/2023 13:00,FAILED,FALSE
Livery,9753,EMPIRE LIMOUSINE INC,ACTIVE,MERCEDES,METRIS,2018,FALSE,,,FIRST_PERIOD,5/23/2023 8:00,PENDING,TRUE
Taxi,5284,"CORTANY 1 TRANS, INC.",ACTIVE,TOYOTA,PRIUS,2014,FALSE,Flash Cab Co,Owner-Operator,SECOND_PERIOD,11/13/2023 9:00,PENDING,TRUE
Taxi,6424,STNY TAXI CORP.,ACTIVE,TOYOTA,PRIUS,2015,FALSE,NORTHSTAR AFFILIATION,Star North Management LLC,SECOND_PERIOD,9/5/2023 13:00,PENDING,TRUE
Taxi,5639,ANK CAB INC,ACTIVE,TOYOTA,PRIUS,2015,FALSE,Yellow Cab Association,Owner Manager,FIRST_PERIOD,2/28/2023 8:00,FAILED,FALSE
Taxi,4667,BOMBAY TAXI SERVICE,ACTIVE,TOYOTA,PRIUS,2013,FALSE,Flash Cab Co,Owner-Operator,FIRST_PERIOD,2/28/2023 11:00,FAILED,FALSE
Taxi,1462,EMMA TAXI INC.,ACTIVE,TOYOTA,RAV4,2016,FALSE,Independent1,Owner-Operator,RETEST,2/28/2023 10:00,PASSED,FALSE
Livery,8513,DIVA SERVICES CORP,ACTIVE,LINCOLN,CONTINENTAL,2018,FALSE,,,FIRST_PERIOD,2/28/2023 8:00,FAILED,FALSE
Taxi,5993,FANTASTIC TAXI INC,ACTIVE,DODGE,GRAND CARAVAN,2017,TRUE,Yellow Cab Association,Owner Manager,FIRST_PERIOD,2/28/2023 9:00,NO_SHOW,FALSE
Livery,9047,GLS LIMO INC.,ACTIVE,CADILLAC,XTS,2018,FALSE,Independent1,,FIRST_PERIOD,4/13/2023 8:00,PASSED,FALSE
Ambulance,5488,AMBULANCE TRANSPORTATION INC,ACTIVE,FORD,E350,2014,FALSE,,,FIRST_PERIOD,2/28/2023 8:00,FAILED,FALSE
Livery,8843,LUCKY LIVERY INC,ACTIVE,LINCOLN,MKT,2017,FALSE,,,FIRST_PERIOD,6/27/2023 8:00,PENDING,TRUE
Taxi,5284,"CORTANY 1 TRANS, INC.",ACTIVE,TOYOTA,PRIUS,2014,FALSE,Flash Cab Co,Owner-Operator,FIRST_PERIOD,5/10/2023 9:00,PENDING,TRUE
Taxi,5674,QT&Q INC,ACTIVE,TOYOTA,COROLLA,2016,FALSE,Globe Taxi Association Inc,Owner-Operator,FIRST_PERIOD,2/28/2023 13:00,FAILED,FALSE
Taxi,5791,COBBYSYMS INC,ACTIVE,TOYOTA,CAMRY,2021,FALSE,Yellow Cab Association,Owner-Operator,FIRST_PERIOD,1/17/2023 9:00,NO_SHOW_RESCHEDULED,FALSE
Taxi,4127,EEL TAXI CORP.,ACTIVE,TOYOTA,CAMRY,2015,FALSE,Independent1,Owner-Operator,FIRST_PERIOD,2/28/2023 8:00,PASSED,FALSE
Ambulance,5557,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",ACTIVE,MERCEDES,SPRINTER,2012,FALSE,,,FIRST_PERIOD,2/28/2023 8:00,FAILED,FALSE
Taxi,4778,HASINA CORP,ACTIVE,TOYOTA,PRIUS,2014,FALSE,Flash Cab Co,Chicago Taxicab Management Inc.,FIRST_PERIOD,2/28/2023 11:00,PASSED,FALSE
Taxi,2008,MONJI INC,ACTIVE,TOYOTA,CAMRY,2017,FALSE,Flash Cab Co,Owner-Operator,RETEST,2/28/2023 11:00,PASSED,FALSE
Taxi,2731,JIMMY 53 TRANS INC,ACTIVE,TOYOTA,CAMRY,2013,FALSE,Flash Cab Co,Owner-Operator,RETEST,2/28/2023 13:00,FAILED,FALSE
Livery,7652,TERRANCE T GRIFFIN,ACTIVE,VOLVO,S90,2018,FALSE,,,FIRST_PERIOD,2/28/2023 8:00,NO_SHOW,FALSE
Livery,9491,DANAYAL LIMOUSINE INC.,ACTIVE,CHEVROLET,SUBURBAN,2018,FALSE,,,FIRST_PERIOD,2/28/2023 8:00,NO_SHOW,FALSE
Taxi,1302,CHICAGO MEDALLION SEVEN LLC.,ACTIVE,TOYOTA,CAMRY,2014,FALSE,Flash Cab Co,Chicago Taxicab Management Inc.,FIRST_PERIOD,2/6/2023 10:00,NO_SHOW_RESCHEDULED,FALSE
Taxi,1238,E & SONS INC,VIOLATION,TOYOTA,SIENNA,2022,TRUE,Yellow Cab Association,Owner-Operator,FIRST_PERIOD,2/27/2023 10:00,NO_SHOW_RESCHEDULED,FALSE
Taxi,2148,"KOREEB, INC",ACTIVE,TOYOTA,HIGHLANDER,2022,FALSE,Independent1,Owner-Operator,SECOND_PERIOD,8/15/2023 10:00,PENDING,TRUE
Taxi,5264,NELSON LTD,ACTIVE,TOYOTA,CAMRY,2017,FALSE,City Service Taxi Association,Owner Manager,FIRST_PERIOD,6/6/2023 8:00,PENDING,TRUE
Ambulance,721442,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",ACTIVE,MERCEDES,SPRINTER,2015,FALSE,,,FIRST_PERIOD,3/1/2023 8:00,PASSED,FALSE
Taxi,3950,3950 TAXI CORP,ACTIVE,TOYOTA,CAMRY,2017,FALSE,Independent1,Owner-Operator,SECOND_PERIOD,9/6/2023 11:00,PENDING,TRUE
Taxi,6226,NECT 8 INC,FORECLOSURE,FORD,ESCAPE,2011,FALSE,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",FIRST_PERIOD,3/1/2023 10:00,PASSED,FALSE
Taxi,5053,OSKO CAB COMPANY,ACTIVE,TOYOTA,SIENNA,2019,TRUE,Flash Cab Co,Choice Taxi Association,RETEST,3/1/2023 9:00,PASSED,FALSE
Taxi,3706,ITHAKA CAB CORP,ACTIVE,TOYOTA,COROLLA,2017,FALSE,Top Cab Association,Top Cab Corp.,FIRST_PERIOD,3/1/2023 10:00,PASSED,FALSE
Taxi,1973,SHOTOR CAB CO,ACTIVE,TOYOTA,CAMRY,2020,FALSE,Flash Cab Co,Owner Manager,CHANGE_EQUIPMENT,3/1/2023 13:00,PASSED,FALSE
Taxi,880,SUNSHINE RIDE INC,ACTIVE,TOYOTA,PRIUS,2010,FALSE,City Service Taxi Association,Owner-Operator,SECOND_PERIOD,9/1/2023 11:00,PENDING,TRUE
Taxi,1612,NJ CAB CO,ACTIVE,TOYOTA,PRIUS,2013,FALSE,Blue Ribbon Assn Inc,"Cab Management Group, Inc.",FIRST_PERIOD,3/1/2023 11:00,PASSED,FALSE
Taxi,4775,KNOWZ CAB CO,ACTIVE,TOYOTA,CAMRY,2013,FALSE,Flash Cab Co,Chicago Taxicab Management Inc.,FIRST_PERIOD,3/1/2023 11:00,FAILED,FALSE
Taxi,3293,3293 TRANSPORT LLC,ACTIVE,TOYOTA,CAMRY,2012,FALSE,Yellow Cab Association,Owner-Operator,CHANGE_EQUIPMENT,3/1/2023 11:00,FAILED,FALSE
Taxi,1985,"E H 1 TRANS, INC",ACTIVE,TOYOTA,PRIUS,2012,FALSE,City Service Taxi Association,Owner Manager,FIRST_PERIOD,3/1/2023 10:00,FAILED,FALSE
Taxi,3054,CHATHA CAB CO,ACTIVE,TOYOTA,PRIUS,2012,FALSE,Checker Taxi Association Co.,Owner Manager,SECOND_PERIOD,12/15/2023 13:00,PENDING,TRUE
Taxi,3950,3950 TAXI CORP,ACTIVE,TOYOTA,CAMRY,2017,FALSE,Independent1,Owner-Operator,CHANGE_EQUIPMENT,3/1/2023 13:00,PASSED,FALSE
Taxi,991,CHICAGO MEDALLION SEVEN LLC.,ACTIVE,TOYOTA,CAMRY,2014,FALSE,Flash Cab Co,Chicago Taxicab Management Inc.,SECOND_PERIOD,7/24/2023 9:00,PENDING,TRUE
Taxi,1207,BEEZ TAXI INC,ACTIVE,TOYOTA,CAMRY,2014,FALSE,Flash Cab Co,Owner Manager,RETEST,3/1/2023 13:00,PASSED,FALSE
Taxi,1223,NEXT GEN TAXI II INC,ACTIVE,TOYOTA,CAMRY,2016,FALSE,Flash Cab Co,"Masters Medallion Management, LLC",FIRST_PERIOD,3/1/2023 11:00,FAILED,FALSE
Taxi,2417,NADGEMA INC,ACTIVE,TOYOTA,CAMRY,2021,FALSE,Flash Cab Co,Owner-Operator,FIRST_PERIOD,3/1/2023 9:00,PASSED,FALSE
Taxi,4631,LEE CAB CO,ACTIVE,TOYOTA,CAMRY,2013,FALSE,Sun Taxi Association Inc,Owner-Operator,FIRST_PERIOD,3/1/2023 10:00,FAILED,FALSE
Taxi,3548,3548 TAXI CORP,ACTIVE,TOYOTA,CAMRY,2016,FALSE,Globe Taxi Association Inc,Owner Manager,SECOND_PERIOD,11/15/2023 11:00,PENDING,TRUE
Taxi,3293,3293 TRANSPORT LLC,ACTIVE,TOYOTA,CAMRY,2012,FALSE,Yellow Cab Association,Owner-Operator,SECOND_PERIOD,8/28/2023 11:00,PENDING,TRUE
Livery,8800,DNL LIMOUSINE INC.,ACTIVE,AUDI,A8,2017,FALSE,,,FIRST_PERIOD,6/28/2023 8:00,PENDING,TRUE
Ambulance,5419,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",ACTIVE,MERCEDES,SPRINTER,2012,FALSE,,,FIRST_PERIOD,2/3/2023 8:00,PASSED,FALSE
Taxi,955,BURNS ROAD INC,ACTIVE,TOYOTA,CAMRY,2014,FALSE,Flash Cab Co,Owner-Operator,SECOND_PERIOD,11/30/2023 9:00,PENDING,TRUE
Taxi,5743,NKOUTOUNGA INC,ACTIVE,TOYOTA,SIENNA,2016,TRUE,Flash Cab Co,Owner Manager,CHANGE_EQUIPMENT,3/1/2023 11:00,PASSED,FALSE
Taxi,3037,SMK TAXI CORP,ACTIVE,TOYOTA,CAMRY,2013,FALSE,Flash Cab Co,Owner-Operator,FIRST_PERIOD,3/1/2023 9:00,FAILED,FALSE
Taxi,4898,E & E TAXI COMPANY,ACTIVE,TOYOTA,CAMRY,2016,FALSE,Flash Cab Co,Chicago Taxicab Management Inc.,SECOND_PERIOD,12/18/2023 8:00,PENDING,TRUE
Taxi,2836,HELENA TRANS INC,ACTIVE,TOYOTA,RAV4,2021,FALSE,City Service Taxi Association,Owner-Operator,FIRST_PERIOD,3/1/2023 10:00,PASSED,FALSE
Livery,8380,LUCKY LIVERY INC,RESERVED,CADILLAC,XTS,2017,FALSE,,,FIRST_PERIOD,3/1/2023 8:00,NO_SHOW,FALSE
Taxi,1985,"E H 1 TRANS, INC",ACTIVE,TOYOTA,PRIUS,2012,FALSE,City Service Taxi Association,Owner Manager,SECOND_PERIOD,9/1/2023 10:00,PENDING,TRUE
Taxi,3608,"DAMAN TRANSIT, INC.",ACTIVE,TOYOTA,PRIUS,2013,FALSE,Flash Cab Co,Owner-Operator,FIRST_PERIOD,3/1/2023 11:00,PASSED,FALSE
Taxi,880,SUNSHINE RIDE INC,ACTIVE,TOYOTA,PRIUS,2010,FALSE,City Service Taxi Association,Owner-Operator,CHANGE_EQUIPMENT,3/1/2023 11:00,FAILED,FALSE
Livery,9673,R & L LIMO INC,ACTIVE,CHEVROLET,SUBURBAN,2016,FALSE,,,CHANGE_EQUIPMENT,3/1/2023 8:00,NO_SHOW,FALSE
